organisation id,name,website,country,founded,category,number of employees,median Salary,profits in 2020(million),profits in 2021(million)
3d41753aadac2fb,mueller group,https://www.nichols.com/,albania,1972,apparel,956,2733,7033750,2290983
91ba1665eeb4d22,cohen saunders and curtis,https://todd.com/,albania,1972,apparel,1999,2411,3025865,5669618
aac4f9abf86eaef,orr-armstrong,https://www.chapman.net/,albania,1970,apparel,7994,4663,387042,10612708
27fbc78271f3aa2,chambers-kemp,http://cooley-murphy.com/,albania,2021,apparel,4288,3221,4122822,11320996
b715731fa4a6cdb,rojas andrews and odonnell,http://www.wells-harrison.org/,albania,1981,apparel,6429,2733,742313,7947410
df66e70fae1aa5d,barnett-randolph,http://donaldson.com/,albania,1998,insurance,7518,2187,7897829,7938251
a3b8d27d51aae2f,hanson newman and bradley,http://www.shepherd.com/,albania,2021,insurance,2135,2131,3954770,1388391
bec776b6c8ce1ac,potter murillo and garza,https://www.bruce.com/,albania,1977,insurance,1552,2765,6066845,2115109
38df1aedef8e004,holden-wolf,https://flynn-hartman.org/,albania,1996,insurance,5416,3492,6249495,9010297
acc61a49398bdd4,collier-howe,http://pratt.com/,albania,1972,insurance,1416,4444,6998920,7849261
2fab6dad4afe024,marquez-blankenship,https://nolan.net/,albania,1989,insurance,8562,3313,5851000,3687241
a1c2b67b5a01adf,boyd llc,https://herrera.com/,albania,1975,insurance,159,2263,6785288,5781194
2ecb7041dc2adf1,leon kaufman and richmond,https://www.madden.com/,albania,1983,apparel,3321,3676,8163338,4398575
ebd8bceefc9a560,hebert-santos,http://holloway.com/,cyprus,2004,apparel,7982,3749,3555763,11329581
abf8dccabe179f9,dodson-lam,https://www.guzman.org/,cyprus,1984,apparel,9440,2545,7149543,6870861
d8eae5c3a1f27ef,wilkerson luna and brewer,http://oneal.biz/,cyprus,2009,apparel,3822,4455,5353312,1819517
ebcf126fe9fdead,boyle-beard,http://www.fisher.com/,cyprus,1985,apparel,9283,2765,4666818,4555031
1c1bc158dee046b,barr james and gilbert,https://www.farmer-wilkerson.biz/,cyprus,1989,apparel,8147,3030,8343944,5208083
f8bd41b97f5e96a,scott-ramsey,https://wyatt.com/,cyprus,2018,apparel,8263,4697,2980183,1861656
0aded4af925c9ec,mcdonald jacobson and fischer,http://www.bruce.biz/,cyprus,1975,apparel,6572,4702,2506874,8695803
2f31eddf2db9aae,love-palmer,https://kramer.com/,cyprus,2010,apparel,6991,3839,6180759,10333311
9e8bdfef88aa4e9,barajas hunt and frye,http://www.richard.com/,cyprus,1980,textiles,3233,3278,2772033,2705625
f58be3967e3fa62,palmer-stokes,https://nelson.com/,cyprus,2016,textiles,3242,3371,2491603,10823701
a7d5585efe783de,wagner-lawrence,http://cline.biz/,cyprus,1976,textiles,5799,2591,569770,1775691
c7e8caa3fe0ea9c,wilson-garrett,https://benjamin.com/,cyprus,1975,textiles,3238,4208,3879587,1749143
41ec4ddd3f62bbc,arroyo garcia and patterson,http://www.martin.com/,cyprus,2020,textiles,9235,3588,4983784,8986610
0052abdaff57dac,donovan-christian,https://www.hatfield.biz/,cyprus,1972,apparel,4544,3607,5166845,4608577
8b43a3446ad871c,scott simpson and burch,https://www.zhang.com/,cyprus,1979,apparel,4408,3029,2505281,4182754
477cdccc1e02aad,vargas ltd,https://www.blair-stout.com/,cyprus,1989,apparel,3162,4156,4899916,10373676
f4bdec9dbc6fd93,pacheco-bruce,http://duffy-kent.com/,ecuador,1982,apparel,20,2461,8876658,7796740
ec1ddbcbd1c649f,chung patel and moore,https://whitney-andrade.com/,ecuador,2008,apparel,2928,4353,5597410,2837953
cc45ccf52fec2fe,bowen group,http://www.torres.biz/,ecuador,1980,insurance,2179,3938,4273314,3381384
